序號,姓名,國籍,緊急聯絡人,聯絡電話
1140001,黃家豪,泰國,母親,0983245424
1140002,吳佳慧,印度,母親,0971610784
1140003,吳思婷,緬甸,哥哥,0979367543
1140004,張小明,緬甸,阿姨,0988299222
1140005,劉佩玲,柬埔寨,叔叔,0976078941
1140006,李志偉,菲律賓,母親,0999696689
1140007,陳俊傑,柬埔寨,父親,0914400835
1140008,陳家豪,泰國,哥哥,0915713742
1140009,許玉芬,柬埔寨,母親,0993444983
1140010,李思婷,印尼,姐姐,0951341439
1140011,黃玉芬,印度,姐姐,0958062695
1140012,李怡君,越南,阿姨,0922758460
1140013,許佩玲,印度,父親,0951851440
1140014,吳怡君,印度,姐姐,0935850402
1140015,許佩玲,緬甸,哥哥,0960452229
1140016,陳佩玲,緬甸,母親,0994757568
1140017,楊小明,印尼,父親,0938775763
1140018,楊佩玲,馬來西亞,阿姨,0957464137
1140019,劉佩玲,柬埔寨,母親,0939003561
1140020,劉家豪,菲律賓,母親,0933747392
1140021,林思婷,越南,哥哥,0960378800
1140022,李俊傑,馬來西亞,哥哥,0918835515
1140023,張佳慧,越南,阿姨,0975421806
1140024,林家豪,印度,叔叔,0926496230
1140025,許怡君,菲律賓,哥哥,0961523188
1140026,許俊傑,馬來西亞,父親,0942900678
1140027,王志強,泰國,父親,0978245805
1140028,吳佳慧,泰國,哥哥,0990732232
1140029,吳怡君,泰國,母親,0980915505
1140030,林怡君,越南,母親,0952935587
1140031,許志偉,緬甸,叔叔,0972519258
1140032,陳家豪,泰國,姐姐,0934325725
1140033,王小明,印度,母親,0977550592
1140034,劉家豪,馬來西亞,叔叔,0951692836
1140035,劉志強,越南,哥哥,0985862755
1140036,陳佳慧,柬埔寨,父親,0937950875
1140037,許佳慧,印度,阿姨,0912618769
1140038,許佳慧,柬埔寨,母親,0925350651
1140039,吳志偉,菲律賓,父親,0996194174
1140040,林家豪,柬埔寨,哥哥,0955997959
1140041,張家豪,柬埔寨,叔叔,0979150111
1140042,張家豪,泰國,父親,0963162665
1140043,陳家豪,印度,父親,0937356569
1140044,吳小明,緬甸,叔叔,0968455212
1140045,張俊傑,馬來西亞,父親,0960181738
1140046,劉志強,泰國,阿姨,0961064350
1140047,楊佳慧,緬甸,母親,0987687156
1140048,許俊傑,柬埔寨,叔叔,0999114360
1140049,劉玉芬,柬埔寨,阿姨,0959105496
1140050,陳怡君,菲律賓,母親,0960439921
1140051,林思婷,印度,父親,0998512164
1140052,吳家豪,馬來西亞,叔叔,0961459029
1140053,許志強,越南,姐姐,0920314394
1140054,吳怡君,柬埔寨,阿姨,0959393864
1140055,黃佩玲,印尼,姐姐,0941510875
1140056,許小明,緬甸,叔叔,0934351221
1140057,吳思婷,越南,阿姨,0970162147
1140058,李佳慧,馬來西亞,哥哥,0939281432
1140059,李怡君,馬來西亞,阿姨,0917630004
1140060,楊志強,菲律賓,叔叔,0957808587
1140061,楊志強,馬來西亞,阿姨,0951990664
1140062,許俊傑,印度,父親,0946941128
1140063,黃佳慧,馬來西亞,姐姐,0980698544
1140064,林志偉,越南,母親,0970295666
1140065,楊佳慧,菲律賓,哥哥,0988782701
1140066,劉思婷,印度,姐姐,0935962215
1140067,李志強,緬甸,哥哥,0954339648
1140068,林玉芬,菲律賓,阿姨,0935151833
1140069,楊思婷,越南,母親,0950281580
1140070,許志強,印尼,母親,0984810223
1140071,王小明,馬來西亞,姐姐,0987138350
1140072,許志強,泰國,姐姐,0994482138
1140073,李家豪,印度,姐姐,0983025554
1140074,許佩玲,印尼,叔叔,0994945670
1140075,李玉芬,緬甸,阿姨,0965114869
1140076,王家豪,柬埔寨,母親,0923699775
1140077,劉志偉,印尼,父親,0950965385
1140078,許志偉,越南,母親,0965911286
1140079,陳玉芬,印尼,父親,0942437878
1140080,王志偉,菲律賓,叔叔,0979895423
1140081,許佳慧,印尼,阿姨,0952348135
1140082,吳志強,柬埔寨,姐姐,0932947162
1140083,許思婷,印尼,姐姐,0929793144
1140084,吳小明,越南,叔叔,0935534358
1140085,劉怡君,馬來西亞,哥哥,0999640932
1140086,李家豪,柬埔寨,父親,0997079753
1140087,吳家豪,菲律賓,阿姨,0944734507
1140088,劉怡君,印度,父親,0924993847
1140089,許佳慧,柬埔寨,姐姐,0982995526
1140090,林俊傑,印度,阿姨,0938631307
1140091,張小明,馬來西亞,姐姐,0978476351
1140092,黃佩玲,越南,哥哥,0984781096
1140093,吳家豪,菲律賓,姐姐,0959177114
1140094,劉志偉,緬甸,母親,0984733879
1140095,林佩玲,馬來西亞,叔叔,0980184252
1140096,黃佩玲,柬埔寨,父親,0942159601
1140097,黃佳慧,越南,母親,0949808053
1140098,吳志強,緬甸,母親,0948908299
1140099,張佩玲,緬甸,哥哥,0992692806
1140100,王志強,印度,哥哥,0965079199
